title,author,genre,total_likes,status,scrape_date
So I Married the Anti-Fan,Jaerim / Eunjeong Kim,Romance,3100000,ongoing,2022-12-27
The Second Lead Syndrome,Batusawa,Drama,235135,hiatus,2022-12-27
Romance 101,Namsoo,Romance,8000000,ongoing,2022-12-27
Rooftops & Roommates,Zaanart,Comedy,4700000,ongoing,2022-12-27
Murim RPG Simulation,Hyung Geun Cho / Kwang Hwi,Action,691934,ongoing,2022-12-27
Lost in Translation,Jjolee,Drama,7000000,ongoing,2022-12-27
Defects,mushmello,Fantasy,489680,ongoing,2022-12-27
Forever After,Hannah Patten / Violet Matter,Fantasy,2500000,ongoing,2022-12-27
Ordeal,Brent Bristol,Action,797004,ongoing,2022-12-27
Raven Saga,Chihiro Howe,Fantasy,1900000,ongoing,2022-12-27
Hooves of Death,Sam Bragg,Fantasy,2900000,ongoing,2022-12-27
Gul,Atenmaru / NicolieDC,Action,1200000,ongoing,2022-12-27
Rewriting the Villainess,HONGHYE,Fantasy,1100000,ongoing,2022-12-27
Secret Playlist,2F,Romance,4400000,ongoing,2022-12-27
KILLMAX,Kennycomics / SilentMaru,Supernatural,1400000,hiatus,2022-12-27
The Earth's Chosen Savior,Shinel / Ha jung soo,Action,542696,ongoing,2022-12-27
Vixen: NYC,Jasmine Walls / Manou Azumi,Superhero,284463,ongoing,2022-12-27
Crimson Heart,HYBE,Fantasy,60939,ongoing,2022-12-27
Straylight Tiger,flying-frappe,Sci-fi,444476,hiatus,2022-12-27
No Scope,ZOYANG,Sports,5500000,ongoing,2022-12-27
Chasing Tails,BASHI,Mystery,1000000,ongoing,2022-12-27
Children of Mirra,MTS,Fantasy,102130,ongoing,2022-12-27
The First Hunter,dedart / Chanwook Jeon,Action,734308,ongoing,2022-12-27
Four Leaf,Lumaga,Fantasy,2000000,ongoing,2022-12-27
Lullaby,MJ / Baeklee,Fantasy,267777,ongoing,2022-12-27
It's On,Sokomin,Slice of life,387063,ongoing,2022-12-27
MONOCHROME,Komatsuki,Action,315542,ongoing,2022-12-27
TACIT,KimDazzi,Action,782547,ongoing,2022-12-27
Ghost on the Roof,Klaus Scrimshaw,Drama,228702,ongoing,2022-12-27
Everfallen,Alai Cinereo,Fantasy,101886,ongoing,2022-12-27
Protect the Knight,Dalbong,Fantasy,516132,ongoing,2022-12-27
Our Resident Exorcist,BaStards / Acorn nut & GB,Action,64234,ongoing,2022-12-27
Warrior Executioner,Serae Kim,Fantasy,136848,ongoing,2022-12-27
Time and Reason,Colabear,Romance,167200,ongoing,2022-12-27
Survival Log,e_no,Action,128758,ongoing,2022-12-27
Trailer Park Warlock,Matthew J. Rainwater,Comedy,757904,ongoing,2022-12-27
Heavenly Eats,Myoung rang / Allbba,Comedy,131030,ongoing,2022-12-27
Love and Leashes,Winter,Romance,2000000,ongoing,2022-12-27
Taming the Marquess,Ire / KRFFR,Romance,534620,hiatus,2022-12-27
Coffin Jackson,CTK,Drama,82208,ongoing,2022-12-27
This Life to the Next,jojoohee / YUNO,Drama,300536,ongoing,2022-12-27
Hwarang: Flower Knights of the Underworld,hwieum / striy,Action,110658,ongoing,2022-12-27
Agatha,Dain Lee,Drama,456741,ongoing,2022-12-27
Blade of the Phantom Master,Inwan Youn / Kyungil Yang,Action,96177,ongoing,2022-12-27
Boyfriends.,refrainbow,Slice of life,21100000,hiatus,2022-12-27
Suitor Armor,Purpah,Fantasy,8900000,hiatus,2022-12-27
Return of the Blossoming Blade,LICO / Biga,Action,2400000,hiatus,2022-12-27
#Blessed,M. Victoria Robado,Drama,1900000,hiatus,2022-12-27
