title,author,genre,day,total_likes,status,scrape_date
Superstar Associate Manager,kyungwon Park / Do8,Drama,Wednesday,69555,ongoing,2023-01-09
Our House,Jinha / Jin Jong Kyung,Slice of life,Wednesday,251064,ongoing,2023-01-09
Write to Your Heart! ,vaguni,Drama,Wednesday,181636,ongoing,2023-01-09
Maya's World,Tupaikidal,Drama,Wednesday,292948,ongoing,2023-01-09
Witch's Workshop,Sohee Park,Drama,Wednesday,19764,ongoing,2023-01-09
Killer Bang: The First Kill,doyeon kim / jinho bang,Action,Wednesday,58460,ongoing,2023-01-09
"66,666 Years: Advent of the Dark Mage",PASA / TARU,Fantasy,Wednesday,1800000,hiatus,2023-01-09
The Prince of Southland,Chris Geroux,Romance,Wednesday,2300000,hiatus,2023-01-09
Archie Comics: Big Ethel Energy,Keryl Brown Ahmed / Siobhan,Drama,Wednesday,2300000,hiatus,2023-01-09
Rebirth,Michi,Sci-fi,Wednesday,9700000,hiatus,2023-01-09
School Bus Graveyard,Red,Thriller,Wednesday,3800000,hiatus,2023-01-09
Clinic of Horrors,Merryweather / PokuriMio,Supernatural,Wednesday,6400000,hiatus,2023-01-09
Of Dark Lords and Cabbages,Liyanya,Romance,Wednesday,1400000,hiatus,2023-01-09
Love Me Knot,Sophia,Romance,Wednesday,5600000,hiatus,2023-01-09
Lady Knight,Lion Illustration,Fantasy,Wednesday,1100000,hiatus,2023-01-09
Deadlove,Guy / Teo,Slice of life,Wednesday,320565,hiatus,2023-01-09
The Devil is a Handsome Man,Hellothisisangle,Drama,Wednesday,2400000,hiatus,2023-01-09
Backchannel,Stan Lee / Tom Akel / Andie Tong,Superhero,Wednesday,169243,hiatus,2023-01-09
unOrdinary,uru-chan,Superhero,Thursday,55500000,ongoing,2023-01-09
Mage & Demon Queen,Color_LES,Comedy,Thursday,22600000,ongoing,2023-01-09
High Class Homos,Momozerii,Comedy,Thursday,8000000,hiatus,2023-01-09
Batman: Wayne Family Adventures,StarBite / CRC Payne,Slice of life,Thursday,5800000,ongoing,2023-01-09
Leveling Up My Husband to the Max,Uginon / Nuova,Romance,Thursday,4500000,ongoing,2023-01-09
Serena,Ina,Drama,Thursday,115067,ongoing,2023-01-09
Act Like You Love Me!,XUANN,Romance,Thursday,6700000,ongoing,2023-01-09
Happily Ever Afterwards,Hwang DoTol / Jeongseo,Fantasy,Thursday,5200000,ongoing,2023-01-09
To The Stars and Back,Peglo,Slice of life,Thursday,3800000,ongoing,2023-01-09
Unlovable Replacement,Nylana,Romance,Thursday,7400000,ongoing,2023-01-09
Brass & Sass,antlerella,Romance,Thursday,8100000,ongoing,2023-01-09
The RUNWAY,Domi / Nokdu,Romance,Thursday,2500000,ongoing,2023-01-09
Weak Hero,SEOPASS / RAZEN,Action,Thursday,14400000,ongoing,2023-01-09
Mythic Item Obtained,Jung SeonYul / Hess,Fantasy,Thursday,441450,ongoing,2023-01-09
See You in My 19th Life,Lee Hey,Romance,Thursday,11000000,ongoing,2023-01-09
When Jasy Whistles,Cibeles,Fantasy,Thursday,2800000,ongoing,2023-01-09
Sisters at War,Maenggi Ki,Drama,Thursday,166893,ongoing,2023-01-09
The Witch and The Bull,Moonsia,Fantasy,Thursday,6600000,hiatus,2023-01-09
Surviving Romance,Lee Yone,Horror,Thursday,3800000,ongoing,2023-01-09
ZOMGAN,ongoo / dai,Action,Thursday,319385,ongoing,2023-01-09
My Dud to Stud Boyfriend,YERANG / SUTGGI,Drama,Thursday,545010,ongoing,2023-01-09
Kill the Dragon,Miss Jisu / J-Sun(REDICE STUDIO),Action,Thursday,378786,ongoing,2023-01-09
Just a Goblin,Brandon Chen / Jksmanga & Inuupen,Fantasy,Thursday,265711,ongoing,2023-01-09
Space Boy,Stephen McCranie,Sci-fi,Thursday,7500000,hiatus,2023-01-09
Dreaming Freedom,2L,Drama,Thursday,852825,ongoing,2023-01-09
Ingrid the Plague Doctor,Harry Amoros,Slice of life,Thursday,544644,ongoing,2023-01-09
Best Teacher Baek,ORIBORI / S.J LEE,Action,Thursday,463064,ongoing,2023-01-09
The Dark Lord's Confession,Topseoung,Fantasy,Thursday,673881,ongoing,2023-01-09
So You're Raising a Warrior,JEON Segi / JEON Hoyun,Fantasy,Thursday,1300000,ongoing,2023-01-09
Finding Fiends,LizardxLizard,Comedy,Thursday,1200000,hiatus,2023-01-09
