title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,vera_mimibtsg7,“I just wanted to see you real bad” **FLAILS UNCONTROLLABLY!!** **SLAMS PHONE ON FLOOR!!** OMG HE’S GONNA TELL HER!!!! (Hopefully.... maybe... UUUUUGGGH),2019-06-25,1796,6,18,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Cesssa_,Okay that nose bleed better not mean he's terminally ill because every kdrama fan here knows that's how these things start. Symptoms shows up halfway or early through the story. We ain't buyin it don't hurt us like this PLEASE,2019-06-25,1496,2,15,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Rinepham ,"""I just wanted to see you real bad"" I mean tell her and hug her and kiss her already... Please!!",2019-06-25,1136,4,6,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Ms Mimi,"Did anyone else's heart skip a beat when Suho said ""I just wanted to see you real bad""?",2019-06-26,1016,2,5,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,princessgreyza,She forgot the green pumpkins,2019-07-16,936,0,14,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,picolopond,kiss the girlll🎶,2019-06-25,506,4,13,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,Ashlee Freese,I liked it better when she was OUT of the story!,2019-07-02,297334,1547,267,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,bexagrams,What kills me about Sujin is that Jugyeong is actually trying to be her friend and she can’t see that. I hope at some point in the story she realizes a good friend is worth more then chasing after a boy. ,2019-07-02,181317,621,60,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,ʙᴜsʏ_ʙᴇᴇ🐝,OMFG HE HELD HER HAND‼️‼️ Edit: Thanks for Top Comment 🤪❤️‼️,2019-07-02,122609,1011,31,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,Megara_007,Anyone else feel bad for seojun who changed three times and put on cologne to help the girl he likes shop for an outfit to wear on her date with his ex-bestfriend??? No? Just me? ,2019-07-02,5641,26,34,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,🦊제🍋,seojun knows about jugyeong's feelings for suho.. but still he wants to get close to her.. eventhough he knows he's fighting a losing battle.. I'm rooting for suho but my heart is aching for seojun 😢,2019-07-02,4476,13,22,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,angel.l.o,Ughugh Seojun is so cute. Shame that his heart is about to be broken ,2019-07-02,3254,32,36,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,ari321,Can we just take a moment to talk about how Suho went all the way to her house just because he wanted to see her again 😭,2019-07-02,2634,22,11,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,Mrs.Itachi_Uchiha,"Ok can we acknowledge how sweet Seojun is 😩 for one he wanted to see her after her tests, two he put in the effort for their “clothes shopping”, changing outfits, three he helps his mom out by giving her money for bills😭💕 four even though he knows Jugyeong likes Suho he still manages to be her friends and 5 he’s a total snack ☺️🥰💕💕💕💕 uggggh I can’t decide ",2019-07-02,2072,11,19,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,HakunaYoTatas⭐,I WANT TO SEE THEIR PHOTO BOOTH PICS,2019-07-02,1732,5,8,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,crispymelon,can we take a moment to appreciate SEOJUN ABS,2019-07-02,1470,13,23,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,nerd_gear,omfg is she buying cloths with sujin for her date with Suho 😱💔 thats brutal. But i still live suho x jugyeong,2019-07-02,1358,27,11,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,AisemB,Why Seojun doesn’t realize that the best outfit is when he takes off his shirt? ,2019-07-02,1203,10,17,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,kaemaria,Poor Seojun. He’s way in the friend zone :(,2019-07-02,764,8,5,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,AK2306,OMGGGGGG THEY KINDA HELD HANDS!!!!!  And I sense trouble and drama coming up....,2019-07-02,536,5,1,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,52,148150,14560,2211694,298215,51786488,2019-07-23,ririxbelle,SUHO COULD HAVE KISSED HER RIGHT IN THE BEGINNING!! Im gonna go broke finding out!!! wahhh!!!! 😅😅😅,2019-07-02,476,7,3,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,53,112806,9123,2211694,288759,51786488,2019-07-30,Suholeex,in my opinion Suho's father suffered from an internal illness which made him very tired. ,2019-07-09,117062,494,48,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,53,112806,9123,2211694,288759,51786488,2019-07-30,Incie,I love how Sujin's attempt to separate them just made Suho want to get even closer to her,2019-07-09,108015,244,38,2023-01-06
