title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,375,62039,2018-08-17,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,374,59377,2018-08-10,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,373,58919,2018-08-03,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,372,55912,2018-07-27,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,371,53041,2018-07-20,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,370,52350,2018-07-13,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,369,55898,2018-07-06,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,368,56270,2018-06-29,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,367,51861,2018-06-22,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,366,55321,2018-06-15,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,365,53486,2018-06-08,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,364,51928,2018-06-01,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,363,54901,2018-05-25,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,362,71644,2018-05-18,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,361,49847,2018-05-11,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,360,49066,2018-05-04,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,359,50293,2018-04-27,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,358,49801,2018-04-20,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,357,50598,2018-04-13,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,356,57422,2018-04-06,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,355,52571,2018-03-30,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,354,49121,2018-03-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,353,49235,2018-03-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,352,48273,2018-03-08,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,351,47973,2018-03-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,350,48354,2018-02-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,349,53261,2018-02-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,348,45489,2018-02-09,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,347,48239,2018-02-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,346,46852,2018-01-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,345,45615,2018-01-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,344,47205,2018-01-12,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,343,49555,2018-01-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,342,45818,2017-12-29,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,341,46375,2017-12-22,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,340,45635,2017-12-15,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,339,46217,2017-12-08,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,338,51509,2017-12-01,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,337,49731,2017-11-24,2022-12-27
